duplicate_row_number,term,definition,first_seen_term,first_seen_definition,same_definition
136,ABATEMENT,"A discount allowed for damage, or
overcharge in the payment of a bill.",Abatement,"A discount allowed for damage, or overcharge in the payment of a bill.",false
141,ABC CLASSIFICATION,"A method of product classification used
in inventory management which is based
on the definition of three classes.
●Class A includes 10 to 20% of the
articles representing about 80% of
the inventory value. The most refined
methods of inventory management
will be used for this class.
●Class B comprises 15 to 20%
of the articles representing
about 15% of the value.
●Class C covers the remaining
articles (between 60 and 75%
of items) representing about
5% of the value. The latter will
be managed less strictly.",ABC Classification,"A method of product classification used in inventory management which is based on the definition of three classes.
- Class A includes 10 to 20% of the articles representing about 80% of the inventory value. The most refined methods of inventory management will be used for this class.
- Class B comprises 15 to 20% of the articles representing about 15% of the value.
- Class C covers the remaining articles (between 60 and 75% of items) representing about 5% of the value. The latter will be managed less strictly.",false
194,Acceptable Valuable Standard,"A valuation of an asset, an measurement under ownership, an entity or any other instrument or right relevant to valuation methodologies which represent standard market practice in the context of the nature as well as the stage of development of the asset, equity interest or entity being valued.",ACCEPTABLE VALUABLE STANDARD,"A valuation of an asset, an measurement under ownership, an entity or any other instrument or right relevant to valuation methodologies which represent standard market practice in the context of the nature as well as the stage of development of the asset, equity interest or entity being valued.",true
233,ACKNOWLEDGEMENT,"A communication indicating that something has been received or understood. It usually refers to a form that is received by a supplier that accepts, or sometimes modifies, the purchase order.",Acknowledgement,"A written communication used to inform the buyer that the supplier has accepted the purchase order placed on them. An acknowledgment creates a bilateral contract, as long as the terms of the acknowledgment are not significantly different from those of the purchase order.",false
241,ACQUISITION COST,"The net price plus other costs needed to
purchase the item and get it to the point
of use. These other costs can include:
the item’s purchasing costs (closing,
research, accounting, commissions,
legal fees), transportation,
preparation, and installation costs.",Acquisition Cost,"The net price plus other costs needed to purchase the item and get it to the point of use. Other costs can include purchasing costs (closing, research, accounting, commissions, legal fees), transportation, preparation, and installation costs.",false
243,Acquisition Debt,Debts incurred in financing the purchase of equity in an entity,ACQUISITION DEBT,Debts incurred in financing the purchase of equity in an entity.,false
245,ACQUISITION PROCESS,"The sequential activities involved in
obtaining necessary inputs for an
organisation is the Acquisition Process.
It includes determination of need,
communication of need, identification
of potential sources, invitation and
consideration of bids, placement
of the purchase order, receipt and
203Glossary  | Act 663
| Some Useful Strategic Sourcing Related Terms
inspection, and making payment.",Acquisition Process,"The sequential activities involved in obtaining necessary inputs for an organization. Includes determination of need, communication of need, identification of potential sources, invitation and consideration of bids, placement of the purchase order, receipt and inspection, and making payment.",false
271,Activity Network Diagram,An arrow diagram used in planning and managing processes and projects,Activity Network Diagram,An arrow diagram used in planning and managing processes and projects.,false
286,AD Valorem Rate,"Customs duty charged in terms of percentage on the value of goods that are dutiable, irrespective of quality, weight, or any other considerations. The ad valorem rates of duty are ascertained from the invoice.",AD VALOREM RATE,"Customs duty charged in terms of percentage on the value of goods that are dutiable, irrespective of quality, weight, or any other considerations. The ad valorem rates of duty are ascertained from the invoice.",true
305,Adhesion Contracts,"Contracts where the buyer is in no position to bargain effectively with the seller. In this context, the seller presents a ""take it or leave it"" contract for the purchase of goods with the intent to take advantage of the buyer's lack of knowledge and sophistication.",ADHESION CONTRACTS,"Contracts where the buyer is in no position to bargain effectively with the seller. In this context, the seller presents a “take it or leave it” contract for the purchase of goods with the intent to take advantage of the buyer’s lack of knowledge and sophistication.",false
