_id,_path,_createTime,_updateTime,term,definition
002mmjmu505YLLoR7WVF,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/002mmjmu505YLLoR7WVF,2025-08-31T21:24:33.878490Z,2025-08-31T21:24:33.878490Z,DBMS,Abbreviation for: Database Management System.
00F1Wg3cG2f2lKhnsa8V,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/00F1Wg3cG2f2lKhnsa8V,2025-08-31T21:23:35.597690Z,2025-08-31T21:23:35.597690Z,CTAS,Abbreviation for: Centre – Tracon Automation System.
00VXQemIwvEG320St9Qe,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/00VXQemIwvEG320St9Qe,2025-08-31T21:33:33.182450Z,2025-08-31T21:33:33.182450Z,Independent Trading Exchange (ITE),"Often used synonymously with B2B, e-marketplace, or Virtual Commerce Network (VCN). ITE is a more precise term, connoting many-to-many transactions, whereas the others do not specify the transactions."
01Nc58YSyKeiP9N8ac5G,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/01Nc58YSyKeiP9N8ac5G,2025-08-31T23:37:57.419165Z,2025-08-31T23:37:57.419165Z,Trucks,"Heavy automotive vehicles used to transport cargo. In the maritime industry, cargo is often carried by tractor-trailers. The tractor is the front part of the vehicle, also called a cab. The trailer is the detachable wheeled chassis behind the tractor, on which containers or other cargoes are placed. See: common carrier; heavy hauler; drayage."
02vYwiYhxiK1G7ugXYuQ,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/02vYwiYhxiK1G7ugXYuQ,2025-08-31T21:38:36.216636Z,2025-08-31T21:38:36.216636Z,Nested,"Articles packed so that one rests partially or entirely within another, thereby reducing the cubic–foot displacement."
031PxQOVnpzcKFsNaOWe,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/031PxQOVnpzcKFsNaOWe,2025-08-31T21:22:39.861666Z,2025-08-31T21:22:39.861666Z,Continuous Acquisition and Life Support (CALS),"Approach developed by the American Defence Department and transferred to the business world, including rules, modelling tools, and computer applications (e.g. ERP) for tracking and optimising product flow from development to end of life."
04GMevOzDbYb30szHbQP,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/04GMevOzDbYb30szHbQP,2025-08-31T23:15:02.304577Z,2025-08-31T23:15:02.304577Z,Tramp,A ship operating with no fixed route or published schedule.
05lSTLhssAGT5rtedQU1,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/05lSTLhssAGT5rtedQU1,2025-08-31T22:40:24.692462Z,2025-08-31T22:40:24.692462Z,Rolling,The side-to-side (athwartship) motion of a vessel.
06TRlelbFIf6BzEcjrjy,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/06TRlelbFIf6BzEcjrjy,2025-08-31T21:34:59.988763Z,2025-08-31T21:34:59.988763Z,K,Refers to: One Thousand.
06kqX5wA8vyXTOJck7m6,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/06kqX5wA8vyXTOJck7m6,2025-08-31T21:32:41.798504Z,2025-08-31T21:32:41.798504Z,HOS,Abbreviation for: Hours of Service (Automated).
07cbpT8DSx3cjwrl4kJp,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/07cbpT8DSx3cjwrl4kJp,2025-08-31T21:39:49.933982Z,2025-08-31T21:39:49.933982Z,Ordering Cost,"The total of all costs associated with the creation and release of a purchase order and its receipt, inspection, and put away as required. In calculating order quantities, the cost of placing a large number of individual orders is balanced against the cost of carrying inventory due to placing fewer orders with larger quantities on each."
07feInH2m3BnR79r4QmI,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/07feInH2m3BnR79r4QmI,2025-08-31T21:20:20.895714Z,2025-08-31T21:20:20.895714Z,CAP,Abbreviation for: Commuter Assistance Program. Program funded by the U.S. Department of Transportation (DOT) which supports numerous congestion reducing programs in a community in order to achieve the community’s traffic reduction and air quality goals.
07gC6s8aX8bVli8pGEPs,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/07gC6s8aX8bVli8pGEPs,2025-08-31T21:38:39.306482Z,2025-08-31T21:38:39.306482Z,Network Design Applications,"Logistics information systems that address such long-term strategic questions as facility location and sizing, as well as transportation networks. These applications often make use of simulation and optimisation modelling."
07rcbrrU1q8c8zXiAFJM,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/07rcbrrU1q8c8zXiAFJM,2025-08-31T21:19:32.865354Z,2025-08-31T21:19:32.865354Z,Bricks and Mortar,Organisations with physical (vs. Internet-only) production or logistics facilities and operations
08ooLkdrfDbRHAqj4lnB,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/08ooLkdrfDbRHAqj4lnB,2025-08-31T21:21:54.027933Z,2025-08-31T21:21:54.027933Z,Combination Export Mgr.,A firm that acts as an export sales agent for more than one non–competing manufacturer.
0958f1uvcbOLI6A92wyT,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/0958f1uvcbOLI6A92wyT,2025-08-31T21:25:07.897641Z,2025-08-31T21:25:07.897641Z,DEPP,Abbreviation for: Developmental Electricity Pricing Programme.
09G7zZNBqf4P7eqlFYaW,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/09G7zZNBqf4P7eqlFYaW,2025-08-31T22:41:54.640874Z,2025-08-31T22:41:54.640874Z,Shop Packet,"A printed set of documents generated for a specific production order that often includes the bill of material, routing, pick slip, work instructions, production and labour reporting tickets, move tickets, and other support forms."
09nqJUHCNDP4CGMxWwPd,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/09nqJUHCNDP4CGMxWwPd,2025-08-31T21:39:40.486659Z,2025-08-31T21:39:40.486659Z,Optical-Guided,Guidance system that uses a special strip (taped or painted) on the floor to guide an AGV.
09pCWwimLX0xbwFRNxih,projects/scmpedia-dbbdf/databases/(default)/documents/definitions/09pCWwimLX0xbwFRNxih,2025-08-31T23:39:25.922452Z,2025-08-31T23:39:25.922452Z,VENDOR MANAGED INVENTORY,"An inventory planning and fulfilment technique in which a supplier is responsible for monitoring and restocking customer inventory at the appropriate time to maintain predefined levels. The vendor is given access to current customer inventory, forecast, and sales order information and initiates replenishment as required."
