source_row_number,term,definition
13465,—also known as voice technology is actually composed of two technologies,"Voice directed, which converts computer data into audible commands, and Speech recognition, which allows user voice input to be converted into data. Portable voice systems consist of a headset with a microphone and a wearable computer."
13466,—computer software designed specifically for managing the movement and storage of materials throughout the warehouse. WMS functionality is generally broken down into the following three operations,"Putaway, Replenishment, and Picking. The key to these systems is the logic to direct these operations to specific locations based on user defined criteria. WMSs are often set up to integrate with data-collection systems."
13464,"—data describing the characteristics of inbound, outbound, or internal orders (outbound is most common). Examples of characteristics incorporated into an order profile could include","line items per order, pieces per order, weight per order, cube per order, time of day, destination, shipment method, order type, etc. Characteristics are often broken into logical groups such as breaking line items per order into groups of items"
13463,"—formula used to determine freight charges when the minimum weight-to-volume ratio has not been met. Actual weight and dim weight are compared, and the larger weight is used for the freight calculation. Dim weight had historically been calculated by","Dim weight= (Length x Width x Height)/194 (All dimensional measurements are in inches) and originally only applied to air shipments. However, recently the carriers have been creating more complex dim weight policies. So depending on the carrier, destination, and service, you may using a different divisor. For example, as of 2011, UPS uses 166 (instead of 194) for air shipments, and 139 for exports, then later started using 166 for ground shipments but only if they are over 5,184 cubic inches (it looks like in 2015 they will eliminate the exclusion for packages 5,184 cubic inches or smaller). The purpose of dimensional weights is to allow the carriers to more effectively apply freight charges when very lightweight but bulky shipments occur. These lightweight but bulky packages can quickly fill up an airplane or trailer, yet not provide enough revenue (based on weight-based fees) to cover costs. a.k.a. Dim weight"
13462,—refers to the status of inventory as it relates to its ability to be sold or consumed. Availability calculations are used to determine this status. Availability calculations vary from system to system but basically subtract any current allocations of holds on inventory from the current on-hand balance. An example of an availability calculation would be,[Quantity Available] = [Quantity On Hand] -[ Quantity On Hold] - [Quantity Allocated To Sales Orders] - [Quantity Allocated to Production Orders].
13363,'CUSTOMER OF CHOICE',"For such a customer, suppliers are prepared to invest in the relationship resulting in a better product and service, allowing the customer company to make a difference in its end user and customer markets, irrespective of the business cycle."
13403,“Onboard” B/L,"B/L validated at the time of loading to transport. Onboard Air, Boxcar, Container, Rail, Truck and Vessel are the most common types."
13405,“Order” B/L,See Negotiable B/L.
13375,• Tier I,Suppliers who are critical to the company’s success; few other suppliers can provide the product or service in the required quantity or quality. Generally relationships with Tier I suppliers are long-term partnerships.
13376,• Tier II,"Suppliers who are not critical to the organisation’s strategic success; other suppliers could provide the same product or service in the same quantity or quality. However, spending with Tier II suppliers is typically very large."
13377,• Tier III,"Suppliers who are not critical to the organisation’s strategic success; many other suppliers could provide the same product or service in the same quantity or quality. Spending with Tier III suppliers is generally small and strictly transactional in nature. Consequently, many employees may be authorized to deal with Tier III suppliers following the company’s stated policies and procedures within the boundaries of good judgment and common sense."
13579,1.  Gaff rig,The spar that holds the upper edge of a four-sided fore-and-aft mounted sail.
13593,1.  Reefing,"To temporarily reduce the area of a sail exposed to the wind, usually to guard against adverse effects of strong wind or to slow the vessel."
13604,1.  Yard,The horizontal spar from which a square sail is suspended.
13599,2.  (v) To hoist,"""Sway up my dunnage""."
13573,2.  Admiral‍ '​s barge,A boat at the disposal of an admiral for his or her use as transportation between a larger vessel and the shore or within a harbor.
13580,2.  Fishing gaff,A hook on a long pole to haul fish in.
13600,2.  Hard tack,q.v..
13594,2.  Reef,"Rock or coral, possibly only revealed at low tide, shallow enough that the vessel will at least touch if not go aground."
13499,"3-C process Continuing, Cooperative, Comprehensive",Generally used to define qualities of the metropolitan planning organization (MPO) planning process.
13571,"3.  ""To run ashore""","To collide with the shore (as opposed to ""to run aground,"" which is to strike a submerged feature such as a reef or sandbar)"
13583,3.  Ocean liner,"Any large and prestigious passenger ship, including cruise ships."
13605,3PL (Third Party Logistics),"The use of an outside party to perform some part of the logistics function, typically trucking or warehousing. It is appropriate if there are economies of scale in the logistics function."
13340,"4 BILL OF LADING - A written receipt or contract, given by a carrier, showing a list of goods delivered to it for transportation. The straight bill of lading is a contract which provides for direct shipment to a consignee. The order bill of lading is negotiable; it enables a shipper to collect for a shipment before it reaches its destination (this is done by sending the original bill of lading with a draft drawn on the consignee through a bank). When the consignee receives the lading indicating that payment has been made, the lading will be surrendered to the carrier's agent, and the carrier will then ship the goods to the consignee, and the bill of lading will be surrendered to the carrier. Note",Shippers frequently consign shipments to themselves on order bills of lading so that delivery is made only upon the shipper's order; the person or firm to be notified upon arrival of the shipment at destination must be designated.
13586,4.  Breastwork monitor,A 19th-century monitor designed with a breastwork to improve seaworthiness.
13578,4.  Foul the range,To block another vessel from firing her guns at a target.
13587,5.  River monitor,"A monitor specifically designed for riverine operations, used during the 19th and 20th centuries and more recently than other types of monitor. River monitors generally are smaller and lighter than other monitors."
13369,51% black people owned,an entity which:
13598,6.  In stays or hove in stays,in the act of going about while tacking.
13595,A bearing relative to the direction of the ship,the clockwise angle between the ship's direction and an object. See also absolute bearing and bearing.
13349,A category is a group of related goods or services based on broadly similar characteristics. Examples,"packaging category, energy category, etc. Categories can further be divided into sub-categories based on unique characteristics of the materials."
12906,A code of correct conduct,safety protocols; academic protocol.
11951,"A contract is an obligation, such as an accepted offer, between competent parties upon a legal consideration, to do or abstain from doing some act. The essentials elements of a contract are",an offer and an acceptance of that offer; the capacity of the parties to contract; consideration to support the contract; a mutual identity of consent; legality of purpose; and definiteness.
13350,"A report is an informative document with data organized in a narrative, graphic, or tabular form. Reports can be prepared on random requests or periodic regularity as required by the user. Procurement organizations use various reports (eg","spend report, supplier base report, accounts payable report) to study factors influencing enterprise-wide spend and to streamline the entire procurement operation."
